time	x	y	z
37.8075	-0.710501528	-2.171193268	0.926210084
37.81	-1.449200093	-1.303346478	1.64834625
37.8125	-2.339598034	-0.195988165	2.069041038
37.815	-3.183197156	0.63536419	2.115300865
37.8175	-3.686435877	1.012385047	2.027573496
37.82	-3.583067647	1.157682058	2.230806257
37.8225	-2.772883125	1.438922319	3.050407319
37.825	-1.403708038	2.003957299	4.444110773
37.8275	0.15368842	2.595609438	5.932436548
37.83	1.437018243	2.694894249	6.801332364
37.8325	2.075691913	1.89325746	6.483188647
37.835	1.94249579	0.223220163	4.900698917
37.8375	1.201570559	-1.794399216	2.563568998
37.84	0.227597573	-3.424981163	0.345004553
37.8425	-0.567443588	-4.129514906	-0.947874971
37.845	-0.918009243	-3.837187651	-0.971343109
37.8475	-0.810845206	-2.917143737	0.0112952
37.85	-0.462656597	-1.898690164	1.312123666
37.8525	-0.184471651	-1.150656115	2.210106827
37.855	-0.205957427	-0.731174228	2.319174661
37.8575	-0.553038056	-0.473553814	1.727245296
37.86	-1.041544754	-0.200086644	0.849526715
37.8625	-1.38446188	0.118040411	0.113528933
37.865	-1.348218271	0.367787176	-0.315003425
37.8675	-0.86978743	0.436158127	-0.598730196
37.87	-0.074316064	0.349605914	-1.064817918
37.8725	0.805253127	0.286353577	-1.935509588
37.875	1.549030622	0.448591329	-3.137313591
37.8775	2.037672269	0.898069784	-4.31109683
37.88	2.26298306	1.489115769	-5.009805446
37.8825	2.272275338	1.956986774	-4.952651682
37.885	2.098543492	2.098720157	-4.178285801
37.8875	1.730705359	1.9129322	-3.013459983
37.89	1.143014033	1.596065983	-1.89260742
37.8925	0.357449814	1.398754369	-1.147418687
37.895	-0.511082637	1.446543651	-0.88511883
37.8975	-1.265021725	1.651080151	-1.002404725
37.9	-1.690828594	1.769174844	-1.294889346
37.9025	-1.646708307	1.562558836	-1.577369329
37.905	-1.123966418	0.947722289	-1.748705379
37.9075	-0.251472448	0.0430062	-1.78985058
37.91	0.755095449	-0.902059884	-1.727417087
37.9125	1.671120719	-1.633556108	-1.600492804
37.915	2.332364697	-1.992422975	-1.443873602
37.9175	2.670503758	-1.941041065	-1.276958981
37.92	2.708337442	-1.532198753	-1.088047631
37.9225	2.524076465	-0.868631401	-0.824124095
37.925	2.202744839	-0.086208044	-0.409084926
37.9275	1.795073242	0.647460869	0.202000582
37.93	1.300485964	1.152740293	0.961392275
37.9325	0.681285545	1.294826274	1.712389023
37.935	-0.098498265	1.053714144	2.252029784
37.9375	-1.02970268	0.552946576	2.449884918
37.94	-2.035078705	0.006994285	2.345670606
